depth_thr_m,adm3_id,adm3_name,affected_pop,event_id,source,peak_date
0.5,94,Gonzaga,0.0,HIST_0000,historical,1980-11-06
0.5,95,Sadanga,0.0,HIST_0000,historical,1980-11-06
0.5,96,Tanudan,0.0,HIST_0000,historical,1980-11-06
0.5,97,Santo Tomas,0.0,HIST_0000,historical,1980-11-06
1.0,1,Amulung,3856.1491725789383,HIST_0000,historical,1980-11-06
1.0,2,Alcala,1117.3990183612332,HIST_0000,historical,1980-11-06
1.0,3,Lubuagan,0.0,HIST_0000,historical,1980-11-06
1.0,4,Baggao,8915.134855373879,HIST_0000,historical,1980-11-06
1.0,5,City of Tabuk,0.0,HIST_0000,historical,1980-11-06
1.0,6,Delfin Albano,0.0,HIST_0000,historical,1980-11-06
1.0,7,Peñablanca,375.0141101870686,HIST_0000,historical,1980-11-06
1.0,8,Natonin,0.0,HIST_0000,historical,1980-11-06
1.0,9,Tumauini,0.0,HIST_0000,historical,1980-11-06
1.0,10,Benito Soliven,0.0,HIST_0000,historical,1980-11-06
1.0,11,Pinukpuk,0.0,HIST_0000,historical,1980-11-06
1.0,12,Angadanan,0.0,HIST_0000,historical,1980-11-06
1.0,13,San Mariano,0.0,HIST_0000,historical,1980-11-06
1.0,14,Claveria,0.0,HIST_0000,historical,1980-11-06
1.0,15,Santa Ana,0.0,HIST_0000,historical,1980-11-06
1.0,16,Buguey,0.0,HIST_0000,historical,1980-11-06
1.0,17,Tuao,0.0,HIST_0000,historical,1980-11-06
1.0,18,Naguilian,0.0,HIST_0000,historical,1980-11-06
1.0,19,Enrile,27644.01888507884,HIST_0000,historical,1980-11-06
1.0,20,Dinapigue,0.0,HIST_0000,historical,1980-11-06
1.0,21,Rizal,1392.4633937187027,HIST_0000,historical,1980-11-06
